Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,6.094500,6.132000,6.087900,6.094500,6.094500,0
2012-01-03,6.131000,6.155000,6.119200,6.131400,6.131400,0
2012-01-04,6.129500,6.150000,6.112400,6.129300,6.129300,0
2012-01-05,6.147700,6.164200,6.115900,6.147400,6.147400,0
2012-01-06,6.163100,6.173400,6.140700,6.164100,6.164100,0
2012-01-09,6.154100,6.155500,6.119500,6.156300,6.156300,0
2012-01-10,6.145500,6.197300,6.145200,6.145400,6.145400,0
2012-01-11,6.182800,6.205500,6.171900,6.183800,6.183800,0
2012-01-12,6.225900,6.239600,6.171000,6.224500,6.224500,0
2012-01-13,6.209700,6.249200,6.193700,6.209700,6.209700,0
2012-01-16,6.234500,6.255800,6.222800,6.234600,6.234600,0
2012-01-17,6.245900,6.268300,6.233200,6.245800,6.245800,0
2012-01-18,6.265700,6.268100,6.222100,6.261000,6.261000,0
2012-01-19,6.216200,6.228300,6.165800,6.216800,6.216800,0
2012-01-20,6.153000,6.212200,6.145200,6.152100,6.152100,0
2012-01-23,6.214700,6.246300,6.184100,6.213600,6.213600,0
2012-01-24,6.168600,6.173500,6.132600,6.170800,6.170800,0
2012-01-25,6.165900,6.214500,6.156100,6.165300,6.165300,0
2012-01-26,6.188300,6.225400,6.187600,6.188300,6.188300,0
2012-01-27,6.194200,6.225500,6.184000,6.193100,6.193100,0
2012-01-30,6.164300,6.187400,6.143900,6.164400,6.164400,0
2012-01-31,6.154900,6.228900,6.153900,6.159200,6.159200,0
2012-02-01,6.154900,6.231700,6.153900,6.223900,6.223900,0
2012-02-02,6.220300,6.256300,6.210200,6.219100,6.219100,0
2012-02-03,6.235100,6.270400,6.202100,6.239000,6.239000,0
2012-02-06,6.245500,6.253400,6.222600,6.243400,6.243400,0
2012-02-07,6.236700,6.290700,6.226400,6.237100,6.237100,0
2012-02-08,6.225700,6.247200,6.216600,6.225300,6.225300,0
2012-02-09,6.213700,6.226600,6.193200,6.216900,6.216900,0
2012-02-10,6.190300,6.195400,6.140600,6.190600,6.190600,0
2012-02-13,6.136300,6.155700,6.123900,6.138500,6.138500,0
2012-02-14,6.134400,6.138500,6.110800,6.134100,6.134100,0
2012-02-15,6.135700,6.191000,6.125200,6.136500,6.136500,0
2012-02-16,6.174600,6.215100,6.172500,6.175100,6.175100,0
2012-02-17,6.159000,6.185700,6.100700,6.155400,6.155400,0
2012-02-20,6.116300,6.118800,6.074200,6.115300,6.115300,0
2012-02-21,6.094600,6.097800,6.053400,6.092400,6.092400,0
2012-02-22,6.067900,6.067900,6.010100,6.065700,6.065700,0
2012-02-23,6.005300,6.023400,5.970200,6.004500,6.004500,0
2012-02-24,6.021100,6.038600,5.960700,6.022500,6.022500,0
2012-02-27,5.946100,6.008100,5.937000,5.945200,5.945200,0
2012-02-28,6.025500,6.033400,5.982200,6.026700,6.026700,0
2012-02-29,6.003500,6.016800,5.987300,6.000800,6.000800,0
2012-03-01,6.001400,6.023100,5.983000,6.000300,6.000300,0
2012-03-02,6.015700,6.052400,6.007400,6.017700,6.017700,0
2012-03-05,6.017800,6.019200,5.973600,6.019700,6.019700,0
2012-03-06,5.995000,6.020100,5.968100,5.994500,5.994500,0
2012-03-07,6.023000,6.023000,5.976000,6.020100,6.020100,0
2012-03-08,5.974400,5.997400,5.915500,5.974300,5.974300,0
2012-03-09,5.947000,6.045900,5.935400,5.945500,5.945500,0
2012-03-12,6.018800,6.026200,5.974800,6.019200,6.019200,0
2012-03-13,5.968900,5.997700,5.961000,5.970900,5.970900,0
2012-03-14,6.004800,6.083900,5.987500,6.005000,6.005000,0
2012-03-15,6.083000,6.099700,6.074800,6.082700,6.082700,0
2012-03-16,6.086400,6.098200,6.056300,6.083300,6.083300,0
2012-03-19,6.073300,6.089500,6.046900,6.071900,6.071900,0
2012-03-20,6.060800,6.069000,6.018200,6.060600,6.060600,0
2012-03-21,6.033600,6.045800,6.001800,6.038600,6.038600,0
2012-03-22,6.013300,6.015000,5.969300,6.012800,6.012800,0
