Date,Close,High,Low,Open,Volume
04/06/2020,78.32931519,79.13126908,77.95506658,78.83236263,87560400
05/06/2020,80.56021881,80.62097312,78.55046881,78.5796297,137250400
08/06/2020,81.03653717,81.07056315,79.54441498,80.25645381,95654400
09/06/2020,83.59550476,83.98919153,80.68416274,80.71575617,147712400
10/06/2020,85.74620819,86.21522972,84.1058417,84.54570235,166651600
11/06/2020,81.62949371,85.31363615,81.52743062,84.88835596,201662400
12/06/2020,82.33426666,84.52142259,81.22125058,83.77293249,200146000
15/06/2020,83.35250092,84.00621804,80.82268995,80.9855148,138808800
16/06/2020,85.56153107,85.83371668,83.77292723,85.41086152,165428800
17/06/2020,85.44245148,86.3683468,85.32094283,86.30759247,114406400
18/06/2020,85.47647095,85.89446097,84.8664952,85.39870364,96820400
19/06/2020,84.98799896,86.65023618,83.87740827,86.18364718,264476000
22/06/2020,87.21159363,87.35497291,85.33550028,85.38167415,135445200
23/06/2020,89.07312012,90.49477264,88.03786417,88.45828672,212155600
24/06/2020,87.50079346,89.62233679,87.1265448,88.70129931,192623200
25/06/2020,88.66241455,88.7012982,86.89568177,87.65632697,137522400
26/06/2020,85.9382019,88.7790745,85.78995751,88.55792789,205256800
29/06/2020,87.91876984,88.01355011,85.36708902,85.84583324,130646000
30/06/2020,88.65270233,88.93946836,87.48622233,87.50566045,140223200
01/07/2020,88.48499298,89.27479892,88.43639399,88.73044274,110737200
02/07/2020,88.48499298,90.0305863,88.37078201,89.39388239,114041600
06/07/2020,90.85201263,91.32103421,89.88480118,89.91639461,118655600
07/07/2020,90.57009125,92.01118163,90.4583054,91.2310984,112424400
08/07/2020,92.67948914,92.71108257,91.46197032,91.54946039,117092000
09/07/2020,93.07804108,93.62725503,92.02820476,93.57379094,125642800
10/07/2020,93.24088287,93.29921207,92.05982227,92.67222324,90257200
13/07/2020,92.81072235,97.16316235,92.59686598,94.54829427,191649200
14/07/2020,94.34659576,94.53857406,91.25541585,92.19102639,170989200
15/07/2020,94.99544525,96.47541947,93.7949394,96.22511199,153198000
16/07/2020,93.82653809,94.68438876,93.22628512,93.86542174,110577600
17/07/2020,93.63697815,94.43407445,93.16309153,94.27854726,92186800
20/07/2020,95.61027527,95.74879688,93.37937868,93.72446644,90318000
21/07/2020,94.29070282,96.4778583,94.04039532,96.40252354,103433200
22/07/2020,94.55558014,95.23845801,93.90429569,93.99177834,89001600
23/07/2020,90.2517395,94.3660194,89.44006285,94.28825211,197004400
24/07/2020,90.02817535,90.37326314,86.65509448,88.44613798,185438800
27/07/2020,92.16184998,92.25419771,90.86900398,91.09257567,121214000
28/07/2020,90.64788818,91.9091486,90.64302309,91.7317433,103625600
29/07/2020,92.38545227,92.57014778,91.09503108,91.13148219,90329200
30/07/2020,93.50332642,93.60782206,91.1484885,91.55675573,158130000
31/07/2020,103.2920609,103.4427304,98.00886044,100.0113278,374336800
03/08/2020,105.8947678,108.5193511,104.8789574,105.1778639,308151200
04/08/2020,106.6019516,107.6955293,105.3601296,106.0843237,173071600
05/08/2020,106.9883575,107.3091421,105.8558961,106.3224926,121776800
06/08/2020,110.7210846,111.2168419,106.7307455,107.3212757,202428800
07/08/2020,108.2037735,110.6991918,107.40524,110.2414943,198045600
10/08/2020,109.7764816,110.7965604,107.1203822,109.652317,212403600
11/08/2020,106.5117493,109.5378984,106.2512502,109.0388178,187902400
12/08/2020,110.0516129,110.3096751,107.4101195,107.6048809,165598000
13/08/2020,111.9992142,113.0046861,110.9450482,111.4343959,210082000
14/08/2020,111.8994141,111.9894914,110.0856682,111.8239435,165565200
17/08/2020,111.6072693,113.0485287,110.9791576,113.0241817,119561600
18/08/2020,112.5372925,112.9633396,111.0229991,111.3589689,105633600
19/08/2020,112.6784668,114.0953791,112.583523,112.9462692,145538000
20/08/2020,115.1787643,115.2931887,112.7028194,112.719863,126907200
21/08/2020,121.1142044,121.5986783,116.1282348,116.1404046,338054800
24/08/2020,122.562767,125.4136355,120.6930311,125.3284172,345937600
25/08/2020,121.5572815,121.9029914,119.8311836,121.4331243,211495600
26/08/2020,123.21035,123.6680474,121.8080445,122.8768173,163022400
27/08/2020,121.7374496,124.1476568,120.5907693,123.8141241,155552400
28/08/2020,121.5402679,123.1324613,121.3162857,122.7137176,187630000
31/08/2020,125.6619568,127.570654,122.7015451,124.2401853,225702700
01/09/2020,130.6673889,131.2711685,127.1129456,129.2845639,151948100
02/09/2020,127.9601746,134.3679236,123.6753647,133.9881337,200119000
03/09/2020,117.7155914,125.467213,117.3455418,123.5877439,257599600
04/09/2020,117.7934799,120.4617495,107.987095,116.9267791,332607200
08/09/2020,109.8665848,115.875064,109.7302503,110.9670008,231366600
09/09/2020,114.2487564,116.0211115,112.2426862,114.1903295,176940500
10/09/2020,110.5190201,117.3455121,109.5549387,117.2091777,182274400
11/09/2020,109.0680313,112.2134787,107.1203879,111.5707528,180860300
14/09/2020,112.340065,112.895143,109.847084,111.7168197,140150100
15/09/2020,112.5153732,115.7192479,110.6358968,115.232337,184642000
16/09/2020,109.1946335,112.9633264,109.1069931,112.2134869,154679000
17/09/2020,107.4514771,109.2627859,105.8641504,106.8477124,178011000
18/09/2020,104.043129,107.9773704,103.3127625,107.50994,287104900
21/09/2020,107.1983032,107.3054242,100.4010239,101.8033297,195713800
22/09/2020,108.8830109,109.9055267,106.3023891,109.7302385,183055400
23/09/2020,104.3157959,109.1751647,103.9749523,108.6979941,150718700
24/09/2020,105.3869858,107.3638426,102.2512787,102.4168266,167743300
25/09/2020,109.3407211,109.4965362,104.8514016,105.5915083,149981400
28/09/2020,111.9505463,112.3011227,109.8276146,111.9992403,137672400
29/09/2020,111.1033325,112.2913964,110.5969484,111.5512971,99382200
30/09/2020,112.7782822,114.190328,110.6456178,110.8111657,142675200
01/10/2020,113.7326355,114.63829,112.7977676,114.5603824,116120400
02/10/2020,110.0613174,112.3498042,109.2822646,109.9347233,144712000
05/10/2020,113.4502335,113.5963082,110.5774623,110.9280387,106243800
06/10/2020,110.1976776,113.0801892,109.3114962,112.6711784,161498200
07/10/2020,112.0674286,112.5251261,111.1422933,111.6194714,96849000
08/10/2020,111.9602966,113.3528621,111.5902396,113.2067874,83477200
09/10/2020,113.9079361,113.9371496,111.9115985,112.2621749,100506900
12/10/2020,121.1434174,121.9029971,116.1574477,116.9170274,240226800
13/10/2020,117.9298172,122.1075136,116.5177786,121.9906523,262330500
14/10/2020,118.0174713,119.8092999,116.4885713,117.8324428,150712000
15/10/2020,117.5500183,118.0271889,115.0570371,115.6121152,112559200
16/10/2020,115.9042664,118.3680417,115.6997647,118.1051057,115393800
19/10/2020,112.9438324,117.2675952,112.6322098,116.8196382,120639300
20/10/2020,114.4337769,115.8652958,112.6029875,113.1580655,124423700
21/10/2020,113.8105621,115.6023908,113.4015513,113.6157933,89946000
22/10/2020,112.7198563,114.9499087,111.5902196,114.3753501,101988000
23/10/2020,112.02845,113.4989229,111.2883434,113.3431078,82572600
26/10/2020,112.0381927,113.4989253,109.924994,111.0254173,111850700
27/10/2020,113.5476151,114.2098141,111.5415446,112.4666723,92276800
28/10/2020,108.2889633,112.4082321,108.1915826,112.0381826,143937800
29/10/2020,112.3011169,113.8689705,109.2627906,109.4283459,146129200
30/10/2020,106.0102158,109.0582746,104.9000598,108.1526202,190272600
02/11/2020,105.9225922,107.7825953,104.5105535,106.2536954,122866900
03/11/2020,107.5488586,108.5713669,105.8836246,106.789279,107624400
04/11/2020,111.9407959,112.5640412,109.4088611,111.1520027,138235500
05/11/2020,115.9139862,116.4885448,113.8105354,114.8622571,126387100
06/11/2020,115.7823257,116.2798264,113.2850358,115.4213874,114457900
09/11/2020,113.4703751,119.0014688,113.2069928,117.5479731,154515300
